/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('forward', 'red', None, 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'left', 'forward', 'left')
 -- forward : 0.24
 -- right : 0.01
 -- None : -0.42
 -- left : 0.00

('right', 'red', 'right', None, 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.17
 -- left : -4.03

('forward', 'green', None, 'right', None)
 -- forward : 0.00
 -- right : 0.58
 -- None : -0.43
 -- left : 0.18

('left', 'red', 'right', None, 'left')
 -- forward : -1.07
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'forward', 'left', None)
 -- forward : -0.96
 -- right : 0.53
 -- None : 0.00
 -- left : -1.03

('right', 'red', 'forward', 'right', 'forward')
 -- forward : -3.93
 -- right : 0.10
 -- None : 0.00
 -- left : 0.00

('right', 'red', None, None, 'right')
 -- forward : -1.84
 -- right : 0.18
 -- None : 0.25
 -- left : -1.08

('left', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- right : 0.09
 -- None : 0.21
 -- left : 0.00

('forward', 'green', 'right', None, None)
 -- forward : 0.00
 -- right : 0.37
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'left', 'forward', None)
 -- forward : 0.07
 -- right : 0.00
 -- None : 0.00
 -- left : 0.44

('left', 'green', None, 'right', None)
 -- forward : 0.15
 -- right : 0.15
 -- None : -0.55
 -- left : 0.49

('left', 'red', 'right', 'right', 'forward')
 -- forward : -3.94
 -- right : 0.00
 -- None : 0.00
 -- left : -4.06

('left', 'green', 'left', 'right', None)
 -- forward : 0.00
 -- right : 0.06
 -- None : -0.48
 -- left : 0.11

('forward', 'green', 'right', None, 'left')
 -- forward : 0.33
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, 'forward', 'forward')
 -- forward : -7.59
 -- right : 0.00
 -- None : 0.36
 -- left : -3.92

('forward', 'green', 'left', None, None)
 -- forward : 1.76
 -- right : 0.29
 -- None : -2.43
 -- left : 0.12

('right', 'red', None, None, 'forward')
 -- forward : -7.52
 -- right : 0.86
 -- None : 0.19
 -- left : -4.02

('left', 'red', 'forward', 'right', None)
 -- forward : -1.98
 -- right : 0.31
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -3.95

('right', 'red', 'left', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'forward', None, 'left')
 -- forward : 0.00
 -- right : -0.01
 -- None : 0.52
 -- left : -1.06

('left', 'green', 'left', 'left', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.20

('left', 'red', None, 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.29
 -- left : -1.07

('forward', 'green', 'forward', None, 'right')
 -- forward : 0.28
 -- right : 0.00
 -- None : 0.00
 -- left : -1.94

('right', 'green', 'forward', None, 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'forward', None)
 -- forward : -4.03
 -- right : -1.97
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'right', 'right', None)
 -- forward : 0.00
 -- right : 0.13
 -- None : 0.00
 -- left : 0.00

('left', 'green', None, 'left', 'left')
 -- forward : 0.00
 -- right : 0.10
 -- None : -1.42
 -- left : 1.12

('left', 'red', 'forward', None, None)
 -- forward : -3.24
 -- right : 0.12
 -- None : 1.59
 -- left : -1.95

('right', 'green', 'left', None, None)
 -- forward : 0.09
 -- right : 1.75
 -- None : -2.17
 -- left : 0.77

('forward', 'green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.07
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.32
 -- left : 0.00

('forward', 'green', None, None, 'left')
 -- forward : 1.32
 -- right : 0.18
 -- None : -0.86
 -- left : 0.08

('right', 'red', 'left', 'forward', 'forward')
 -- forward : -3.91
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -4.01

('right', 'red', 'left', None, 'left')
 -- forward : 0.00
 -- right : 0.42
 -- None : 0.00
 -- left : -1.93

('left', 'red', 'right', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -3.97

('left', 'green', 'left', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.02
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.20
 -- left : 0.00

('forward', 'green', 'forward', 'forward', None)
 -- forward : 0.47
 -- right : 0.00
 -- None : -0.54
 -- left : -3.90

('left', 'red', None, None, None)
 -- forward : -6.44
 -- right : 0.51
 -- None : 1.85
 -- left : -7.45

('right', 'green', 'left', None, 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.20

('forward', 'green', None, 'forward', 'forward')
 -- forward : 1.23
 -- right : 0.10
 -- None : -0.56
 -- left : 0.13

('forward', 'green', 'left', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', None, 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.26

('left', 'green', None, None, 'right')
 -- forward : 0.00
 -- right : 0.47
 -- None : -0.59
 -- left : 0.12

('right', 'red', 'forward', None, 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.30
 -- left : 0.00

('right', 'red', None, 'left', None)
 -- forward : -0.95
 -- right : 0.00
 -- None : 0.25
 -- left : -1.04

('right', 'red', 'right', None, None)
 -- forward : -3.37
 -- right : 1.11
 -- None : 0.21
 -- left : -10.98

('left', 'green', 'right', 'right', 'left')
 -- forward : 0.00
 -- right : 0.01
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'right', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -1.94

('forward', 'green', 'forward', 'right', None)
 -- forward : 0.00
 -- right : 0.13
 -- None : 0.00
 -- left : -2.03

('right', 'green', None, 'left', None)
 -- forward : 0.01
 -- right : 0.90
 -- None : -0.97
 -- left : 0.12

('right', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -2.03

('forward', 'green', 'forward', 'left', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.48
 -- left : -1.99

('right', 'green', 'forward', 'right', None)
 -- forward : 0.00
 -- right : 0.24
 -- None : -0.53
 -- left : 0.00

('left', 'red', 'left', 'left', None)
 -- forward : 0.00
 -- right : 0.13
 -- None : 0.57
 -- left : 0.00

('right', 'red', None, 'right', 'right')
 -- forward : -1.90
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'left', None, None)
 -- forward : -4.09
 -- right : 1.33
 -- None : 0.13
 -- left : -6.17

